support,itemsets
0.0871559633027523,"frozenset({'Action', 'NonSummerRelease', 'PopularTop25'})"
0.10091743119266056,"frozenset({'Action', 'NonSummerRelease', 'Science Fiction'})"
0.11467889908256881,"frozenset({'Action', 'NonSummerRelease', 'ShortRuntime'})"
0.11009174311926606,"frozenset({'Thriller', 'Action', 'NonSummerRelease'})"
0.0963302752293578,"frozenset({'Action', 'NotPopularTop25', 'Science Fiction'})"
0.09174311926605505,"frozenset({'Action', 'ShortRuntime', 'NotPopularTop25'})"
0.0871559633027523,"frozenset({'Action', 'Thriller', 'NotPopularTop25'})"
0.07339449541284404,"frozenset({'Action', 'Thriller', 'ShortRuntime'})"
0.16055045871559634,"frozenset({'HighRating', 'HighBudget', 'Adventure'})"
0.19724770642201836,"frozenset({'HighRevenue', 'HighBudget', 'Adventure'})"
0.15137614678899083,"frozenset({'HighBudget', 'Adventure', 'LongRuntime'})"
0.1834862385321101,"frozenset({'HighBudget', 'NonSummerRelease', 'Adventure'})"
0.16055045871559634,"frozenset({'HighBudget', 'Adventure', 'NotPopularTop25'})"
0.11467889908256881,"frozenset({'HighBudget', 'Adventure', 'Science Fiction'})"
0.16055045871559634,"frozenset({'HighRating', 'HighRevenue', 'Adventure'})"
0.12844036697247707,"frozenset({'HighRating', 'Adventure', 'LongRuntime'})"
0.14220183486238533,"frozenset({'HighRating', 'NonSummerRelease', 'Adventure'})"
0.14220183486238533,"frozenset({'HighRating', 'Adventure', 'NotPopularTop25'})"
0.0779816513761468,"frozenset({'HighRating', 'Adventure', 'Science Fiction'})"
0.1559633027522936,"frozenset({'HighRevenue', 'Adventure', 'LongRuntime'})"
0.1651376146788991,"frozenset({'HighRevenue', 'NonSummerRelease', 'Adventure'})"
0.16055045871559634,"frozenset({'HighRevenue', 'Adventure', 'NotPopularTop25'})"
0.0963302752293578,"frozenset({'HighRevenue', 'Adventure', 'Science Fiction'})"
0.12385321100917432,"frozenset({'NonSummerRelease', 'Adventure', 'LongRuntime'})"
0.14220183486238533,"frozenset({'LongRuntime', 'Adventure', 'NotPopularTop25'})"
0.09174311926605505,"frozenset({'LongRuntime', 'Adventure', 'Science Fiction'})"
0.14678899082568808,"frozenset({'NonSummerRelease', 'Adventure', 'NotPopularTop25'})"
0.10550458715596331,"frozenset({'NonSummerRelease', 'Adventure', 'Science Fiction'})"
0.08256880733944955,"frozenset({'ShortRuntime', 'NonSummerRelease', 'Adventure'})"
0.08256880733944955,"frozenset({'NotPopularTop25', 'Adventure', 'Science Fiction'})"
0.07339449541284404,"frozenset({'HighRating', 'HighBudget', 'Animation'})"
0.0779816513761468,"frozenset({'HighRevenue', 'HighBudget', 'Animation'})"
0.0779816513761468,"frozenset({'HighRevenue', 'HighRating', 'Animation'})"
0.0779816513761468,"frozenset({'HighRevenue', 'HighBudget', 'Comedy'})"
0.0779816513761468,"frozenset({'HighRating', 'NonSummerRelease', 'Comedy'})"
0.0779816513761468,"frozenset({'HighRating', 'Comedy', 'NotPopularTop25'})"
0.0871559633027523,"frozenset({'LowBudget', 'LowRating', 'Comedy'})"
0.11009174311926606,"frozenset({'Comedy', 'LowRevenue', 'LowBudget'})"
0.11926605504587157,"frozenset({'NonSummerRelease', 'Comedy', 'LowBudget'})"
0.11926605504587157,"frozenset({'LowBudget', 'Comedy', 'NotPopularTop25'})"
0.0871559633027523,"frozenset({'LowBudget', 'Comedy', 'ShortRuntime'})"
0.0779816513761468,"frozenset({'Comedy', 'LowRating', 'LowRevenue'})"
0.0963302752293578,"frozenset({'NonSummerRelease', 'LowRating', 'Comedy'})"
0.09174311926605505,"frozenset({'LowRating', 'Comedy', 'NotPopularTop25'})"
0.0871559633027523,"frozenset({'LowRating', 'Comedy', 'ShortRuntime'})"
0.10550458715596331,"frozenset({'Comedy', 'LowRevenue', 'NonSummerRelease'})"
0.10550458715596331,"frozenset({'Comedy', 'LowRevenue', 'NotPopularTop25'})"
0.08256880733944955,"frozenset({'Comedy', 'LowRevenue', 'ShortRuntime'})"
0.14220183486238533,"frozenset({'NonSummerRelease', 'Comedy', 'NotPopularTop25'})"
0.10550458715596331,"frozenset({'NonSummerRelease', 'Comedy', 'ShortRuntime'})"
0.11009174311926606,"frozenset({'Comedy', 'ShortRuntime', 'NotPopularTop25'})"
0.08256880733944955,"frozenset({'HighBudget', 'Drama', 'LongRuntime'})"
0.0871559633027523,"frozenset({'HighRating', 'HighRevenue', 'Drama'})"
0.11467889908256881,"frozenset({'HighRating', 'Drama', 'LongRuntime'})"
0.07339449541284404,"frozenset({'HighRating', 'LowBudget', 'Drama'})"
0.10550458715596331,"frozenset({'HighRating', 'NonSummerRelease', 'Drama'})"
0.11009174311926606,"frozenset({'HighRating', 'Drama', 'NotPopularTop25'})"
0.10550458715596331,"frozenset({'HighRevenue', 'Drama', 'LongRuntime'})"
0.08256880733944955,"frozenset({'HighRevenue', 'NonSummerRelease', 'Drama'})"
0.0779816513761468,"frozenset({'HighRevenue', 'Drama', 'NotPopularTop25'})"
0.11467889908256881,"frozenset({'LowBudget', 'Drama', 'LongRuntime'})"
0.08256880733944955,"frozenset({'LowRating', 'Drama', 'LongRuntime'})"
0.09174311926605505,"frozenset({'LowRevenue', 'Drama', 'LongRuntime'})"
0.15137614678899083,"frozenset({'NonSummerRelease', 'Drama', 'LongRuntime'})"
0.1559633027522936,"frozenset({'LongRuntime', 'Drama', 'NotPopularTop25'})"
0.11467889908256881,"frozenset({'LowBudget', 'LowRating', 'Drama'})"
0.15137614678899083,"frozenset({'LowBudget', 'LowRevenue', 'Drama'})"
0.1559633027522936,"frozenset({'LowBudget', 'NonSummerRelease', 'Drama'})"
0.1651376146788991,"frozenset({'LowBudget', 'Drama', 'NotPopularTop25'})"
0.07339449541284404,"frozenset({'Drama', 'LowBudget', 'ShortRuntime'})"
0.11926605504587157,"frozenset({'LowRating', 'LowRevenue', 'Drama'})"
0.11926605504587157,"frozenset({'LowRating', 'NonSummerRelease', 'Drama'})"
0.11009174311926606,"frozenset({'LowRating', 'Drama', 'NotPopularTop25'})"
0.14220183486238533,"frozenset({'NonSummerRelease', 'LowRevenue', 'Drama'})"
