id,title,release_date,release_date_full,popularity,vote_average,vote_count,adult,runtime,budget,revenue,genres,release_year,release_month,label_popular_top25,label_high_rating
1608982,From the Ashes: The Pit,2026-01-21,2026-01-21,89.6567,3.8,15,False,88,0.0,0.0,Thriller|Drama,2026,1,1,0
1167307,David,2025-12-14,2025-12-14,95.0521,7.9,34,False,109,60900000.0,77770275.0,Animation|Family|Drama,2025,12,1,1
840464,Greenland 2: Migration,2026-01-07,2026-01-07,305.9816,6.6,142,False,98,90000000.0,11416907.0,Adventure|Thriller|Science Fiction,2026,1,1,0
840464,Greenland 2: Migration,2026-01-07,2026-01-07,305.9816,6.6,142,False,98,90000000.0,11416907.0,Adventure|Thriller|Science Fiction,2026,1,1,0
1317288,Marty Supreme,2025-12-19,2025-12-19,82.4454,7.867,346,False,150,65000000.0,116300000.0,Drama,2025,12,1,1
1131759,Omniscient Reader: The Prophecy,2025-07-23,2025-07-23,76.8269,6.4,52,False,117,0.0,9187679.0,Action|Adventure|Fantasy,2025,7,1,0
1511417,Bāhubali: The Epic,2025-10-29,2025-10-29,74.3052,6.1,26,False,224,65000000.0,3500000.0,Action|Drama,2025,10,1,0
425274,Now You See Me: Now You Don't,2025-11-12,2025-11-12,80.8943,6.6,971,False,113,90000000.0,239845830.0,Thriller|Crime|Mystery,2025,11,1,0
628847,Trap House,2025-11-14,2025-11-14,74.6943,6.63,188,False,102,0.0,0.0,Action|Crime|Thriller,2025,11,1,0
1054867,One Battle After Another,2025-09-23,2025-09-23,70.6801,7.421,2616,False,162,175000000.0,206311045.0,Thriller|Crime|Action,2025,9,1,1
7451,xXx,2002-08-09,2002-08-09,74.8319,6.0,4759,False,124,70000000.0,277448382.0,Action|Adventure|Thriller|Crime|Drama,2002,8,1,0
1491902,Bang,2025-07-11,2025-07-11,66.0039,6.6,60,False,0,0.0,0.0,Action|Thriller,2025,7,1,0
1272837,28 Years Later: The Bone Temple,2026-01-14,2026-01-14,67.2374,7.2,261,False,109,63000000.0,46200000.0,Horror|Thriller|Science Fiction,2026,1,1,1
1236153,Mercy,2026-01-19,2026-01-19,70.9271,6.857,77,False,100,60000000.0,22700000.0,Science Fiction|Action|Thriller,2026,1,1,0
24428,The Avengers,2012-04-25,2012-04-25,66.2639,7.923,35471,False,143,220000000.0,1518815515.0,Science Fiction|Action|Adventure,2012,4,1,1
982843,The Great Flood,2025-09-18,2025-09-18,59.1111,5.995,542,False,107,0.0,0.0,Science Fiction|Adventure|Drama,2025,9,1,0
1198994,Send Help,2026-01-22,2026-01-22,67.083,7.2,18,False,113,40000000.0,10821.0,Horror|Thriller|Comedy,2026,1,1,1
1228246,Five Nights at Freddy's 2,2025-12-03,2025-12-03,64.1619,6.7,671,False,104,36000000.0,237625385.0,Horror|Thriller,2025,12,1,0
680493,Return to Silent Hill,2026-01-21,2026-01-21,56.8589,5.3,55,False,106,23000000.0,19300000.0,Horror|Mystery,2026,1,1,0
680493,Return to Silent Hill,2026-01-21,2026-01-21,56.8589,5.3,55,False,106,23000000.0,19300000.0,Horror|Mystery,2026,1,1,0
1147411,"Miraculous World: Tokyo, Stellar Force",2025-12-07,2025-12-07,60.0664,9.0,8,False,51,0.0,0.0,Adventure|Animation|Action|TV Movie|Comedy,2025,12,1,1
1137179,Yadang: The Snitch,2025-04-16,2025-04-16,53.1045,6.9,34,False,123,9500000.0,24508523.0,Crime|Action|Comedy|Drama|Thriller,2025,4,1,0
1439112,Muzzle: City of Wolves,2025-11-13,2025-11-13,52.9988,6.752,101,False,93,0.0,0.0,Action|Thriller|Mystery,2025,11,1,0
803796,KPop Demon Hunters,2025-06-20,2025-06-20,60.3098,8.11,2291,False,96,100000000.0,24690793.0,Fantasy|Music|Comedy|Animation,2025,6,1,1
803796,KPop Demon Hunters,2025-06-20,2025-06-20,60.3098,8.11,2291,False,96,100000000.0,24690793.0,Fantasy|Music|Comedy|Animation,2025,6,1,1
803796,KPop Demon Hunters,2025-06-20,2025-06-20,60.3098,8.11,2291,False,96,100000000.0,24690793.0,Fantasy|Music|Comedy|Animation,2025,6,1,1
803796,KPop Demon Hunters,2025-06-20,2025-06-20,60.3098,8.11,2291,False,96,100000000.0,24690793.0,Fantasy|Music|Comedy|Animation,2025,6,1,1
1575337,Cosmic Princess Kaguya!,2026-01-22,2026-01-22,54.977,8.4,16,False,141,0.0,0.0,Animation|Fantasy|Music|Science Fiction,2026,1,1,1
680493,Return to Silent Hill,2026-01-21,2026-01-21,56.8589,5.3,55,False,106,23000000.0,19300000.0,Horror|Mystery,2026,1,1,0
680493,Return to Silent Hill,2026-01-21,2026-01-21,56.8589,5.3,55,False,106,23000000.0,19300000.0,Horror|Mystery,2026,1,1,0
533533,TRON: Ares,2025-10-08,2025-10-08,51.75,6.518,1103,False,119,220000000.0,142249983.0,Science Fiction|Adventure|Action,2025,10,1,0
1196067,Worldbreaker,2025-10-30,2025-10-30,50.0654,6.266,64,False,95,0.0,0.0,Science Fiction|Action|Horror,2025,10,1,0
1234821,Jurassic World Rebirth,2025-07-01,2025-07-01,52.9428,6.329,2900,False,134,180000000.0,869146189.0,Science Fiction|Adventure|Action,2025,7,1,0
1062722,Frankenstein,2025-10-17,2025-10-17,54.7362,7.692,2765,False,150,120000000.0,480678.0,Drama|Fantasy|Horror,2025,10,1,1
798645,The Running Man,2025-11-11,2025-11-11,49.2348,6.798,1078,False,133,110000000.0,68615641.0,Action|Thriller|Science Fiction,2025,11,1,0
1539104,JUJUTSU KAISEN: Execution,2025-11-07,2025-11-07,46.1727,5.6,78,False,88,0.0,44559195.0,Animation|Action,2025,11,0,0
76600,Avatar: The Way of Water,2022-12-14,2022-12-14,40.1375,7.6,13608,False,192,350000000.0,2353096253.0,Action|Adventure|Science Fiction,2022,12,0,1
76600,Avatar: The Way of Water,2022-12-14,2022-12-14,40.1375,7.6,13608,False,192,350000000.0,2353096253.0,Action|Adventure|Science Fiction,2022,12,0,1
858024,Hamnet,2025-11-26,2025-11-26,47.9796,7.804,158,False,126,35000000.0,42580530.0,Drama|Romance|History,2025,11,1,1
1247002,The Old Woman with the Knife,2025-04-30,2025-04-30,47.866,6.368,53,False,123,0.0,0.0,Action|Mystery|Drama,2025,4,0,0
1195518,The Unholy Trinity,2025-06-13,2025-06-13,44.3709,6.432,148,False,95,0.0,1000526.0,Western|Adventure|Crime,2025,6,0,0
1033462,Bureau 749,2024-10-01,2024-10-01,44.7592,6.231,80,False,123,0.0,51706251.0,Action|Adventure|Science Fiction,2024,10,0,0
1244876,El molino,2024-03-06,2024-03-06,45.6283,0.0,0,False,107,0.0,0.0,Drama,2024,3,0,0
1315303,Primate,2026-01-01,2026-01-01,45.4786,6.625,64,False,89,21000000.0,30502877.0,Horror|Thriller,2026,1,0,0
575265,Mission: Impossible - The Final Reckoning,2025-05-17,2025-05-17,42.8715,7.19,2475,False,170,400000000.0,598767057.0,Action|Thriller|Adventure,2025,5,0,1
575265,Mission: Impossible - The Final Reckoning,2025-05-17,2025-05-17,42.8715,7.19,2475,False,170,400000000.0,598767057.0,Action|Thriller|Adventure,2025,5,0,1
1220564,The Secret Agent,2025-07-23,2025-07-23,44.6777,7.675,229,False,161,5000000.0,6471965.0,Crime|Drama|Thriller,2025,7,0,1
1223601,Sisu: Road to Revenge,2025-10-21,2025-10-21,44.0002,7.4,503,False,89,12200000.0,9724644.0,Action|War,2025,10,0,1
911430,F1,2025-06-25,2025-06-25,43.9351,7.793,3185,False,156,250000000.0,631627111.0,Action|Drama,2025,6,0,1
575265,Mission: Impossible - The Final Reckoning,2025-05-17,2025-05-17,42.8715,7.19,2475,False,170,400000000.0,598767057.0,Action|Thriller|Adventure,2025,5,0,1
575265,Mission: Impossible - The Final Reckoning,2025-05-17,2025-05-17,42.8715,7.19,2475,False,170,400000000.0,598767057.0,Action|Thriller|Adventure,2025,5,0,1
157336,Interstellar,2014-11-05,2014-11-05,42.8479,8.466,38728,False,169,165000000.0,746606706.0,Adventure|Drama|Science Fiction,2014,11,0,1
19995,Avatar,2009-12-16,2009-12-16,42.6598,7.6,33350,False,162,237000000.0,2353096253.0,Action|Adventure|Fantasy|Science Fiction,2009,12,0,1
1255674,Crazy Old Lady,2025-10-10,2025-10-10,42.4559,5.7,19,False,91,0.0,0.0,Horror|Thriller|Comedy,2025,10,0,0
1301122,Nazi Supersoldier,2024-10-13,2024-10-13,42.393,5.435,23,False,78,0.0,0.0,Horror|Action|Science Fiction,2024,10,0,0
1208348,Rental Family,2025-11-20,2025-11-20,42.2594,7.8,274,False,110,0.0,10706787.0,Comedy|Drama,2025,11,0,1
269149,Zootopia,2016-02-11,2016-02-11,40.8984,7.758,17576,False,109,150000000.0,1025521689.0,Animation|Adventure|Family|Comedy,2016,2,0,1
675954,El mochaorejas,1998-01-01,1998-01-01,40.6742,5.3,3,False,90,0.0,0.0,Crime|Action,1998,1,0,0
76600,Avatar: The Way of Water,2022-12-14,2022-12-14,40.1375,7.6,13608,False,192,350000000.0,2353096253.0,Action|Adventure|Science Fiction,2022,12,0,1
